# code,name,lat,lon,apt,type,country code
ABEVO, , 40.8333, 68.5783, UTTR, High and Low Level, UZ
ABEXA, , 51.6047, 20.9217, EPWW, Low Level, PL
ABFTV, , -21.0143, 26.8718, FBGR, High Level, BC
ABGAS, , 48.5937, 10.3917, ETMM, High Level, GM
ABGEL, , 55.77, 118.1183, UIAM, High and Low Level, RS
ABGEN, , 40.9617, 68.7133, UAII, High and Low Level, KZ
ABGUS, , 51.8669, 11.0533, EDVV, High and Low Level, GM
ABH, , 18.2419, 42.6569, OEJD, High and Low Level, SA
ABI06, , 11.5446, 43.2564, HDAM, Terminal, DJ
ABI09, , 11.5504, 43.3159, HDAM, Terminal, DJ
ABI15, , 11.5466, 43.18, HDAM, Terminal, DJ
ABI66, , 11.5497, 43.2667, HDAM, Terminal, DJ
ABI90, , 11.5836, 43.3122, HDAM, Terminal, DJ
ABI91, , 11.5433, 43.3073, HDAM, Terminal, DJ
ABI92, , 11.58, 43.3043, HDAM, Terminal, DJ
ABI93, , 11.608, 43.2955, HDAM, Terminal, DJ
ABI99, , 11.6042, 43.3061, HDAM, Terminal, DJ
ABIDE, , 0.6784, -69.6879, SBAZ, RNAV, BR
ABIGA, , 60.2983, 90.9267, UNKL, High and Low Level, RS
ABILA, , 67.5417, 170.8583, UHMP, High and Low Level, RS
ABILI, , 43.5678, 5.6775, LFMM, High and Low Level, FR
ABILO, , -5.2967, 109.0483, WIIZ, High and Low Level, ID
ABILO, , 34.3236, 30.0, LGGG, RNAV, GR
ABINA, , 64.3683, -171.7667, UHMA, High and Low Level, RS
ABINO, , 55.9683, 9.9944, EKDK, RNAV, DA
ABIRA, , 42.7982, 141.9643, RJCJ, Terminal, JA
ABIRA, , 50.3919, 62.4153, UATT, High and Low Level, KZ
ABIRO, , 35.8047, -6.2897, GMMM, Low Level, MO
ABISI, , 48.9206, 12.7706, EDMM, RNAV, GM
ABISU, , 46.6055, 23.1641, LRBB, RNAV, RO
ABITA, , 48.1886, 2.5383, LFPB, Terminal, FR
ABITI, , 56.1333, 69.6517, UNOO, High and Low Level, RS
ABITU, , 48.3333, 18.3247, LZBB, High and Low Level, LO
ABK, , 53.745, 91.385, UNKL, High and Low Level, RS
ABKAR, , 19.0864, 40.27, OEJD, High and Low Level, SA
ABKAT, , 54.1481, -1.9797, EGTT, High Level, UK
ABKER, , 52.1765, 3.7002, EHRD, Terminal, NL
ABKGV, , -23.5265, 22.888, FBGR, High and Low Level, BC
ABKIS, , 50.6297, 13.0572, EDMM, RNAV, GM
ABKMA, , 37.0973, 140.4217, RJTG, Terminal, JA
ABKOM, , 54.2933, 29.5467, UMMV, RNAV, BO
ABKUR, , 66.96, 24.2456, EFPS, RNAV, FI
ABL, , 4.7839, -74.7675, SKED, High and Low Level, CO
ABLAK, , 43.5014, 5.4383, LFMM, High and Low Level, FR
ABLAT, , 45.3906, 13.6261, LDZA, RNAV, HR
ABLBG, , 13.8436, 120.1137, RPLL, RNAV, RP
ABLEG, , 51.41, 7.9542, EDVV, RNAV, GM
ABLIK, , 46.5133, 28.6258, LUKK, Low Level, MD
ABLOD, , 31.2517, 2.4558, DAAA, High and Low Level, AG
ABLOK, , -12.7178, 143.44, YBBB, High and Low Level, AS
ABLOM, , 48.0675, 17.0878, LZBB, High and Low Level, LO
ABLON, , 38.1694, 23.7356, LGGG, High and Low Level, GR
ABLOR, , 53.4833, 47.0833, UWPP, High and Low Level, RS
ABLOX, , 51.3808, 14.52, EDMM, RNAV, GM
ABM, , 25.8778, 55.0229, OIIX, High and Low Level, IR
ABMBS, , 14.9782, 120.4889, RPHI, RNAV, RP
ABMGA, , -3.0698, 30.4159, HBBA, High and Low Level, BY
ABMIK, , 45.9378, 74.6011, UAAH, High and Low Level, KZ
ABMKT, , -12.8617, 27.8533, FLFI, High and Low Level, ZA
ABMMG, , -15.5044, 22.7536, FLFI, High and Low Level, ZA
ABMRG, , -2.8935, 29.2977, HBBA, High and Low Level, BY
ABMYI, , -3.591, 30.2216, HBDC, Low Level, BY
ABN, , 44.0558, 8.2211, LIMM, High and Low Level, IT
ABNEE, , 45.5642, -74.1725, CYMX, Terminal, CA
ABNUR, , 50.1714, 1.8586, LFFF, RNAV, FR
ABOBI, , 67.9467, 176.6883, UHMI, High and Low Level, RS
ABODA, , 35.4139, -7.8333, GMMM, High and Low Level, MO
ABODE, , -13.7642, -38.855, SBRE, RNAV, BR
ABOKA, , 46.1094, 24.9687, LRBB, High and Low Level, RO
ABOLA, , 47.9821, 38.4145, UKHV, Low Level, UP
ABOLI, , 55.8867, 111.3817, UIKK, High and Low Level, RS
ABOMA, , 53.4833, 145.9167, UHSH, High and Low Level, RS
ABONA, , 46.1925, 75.3158, UAAA, High and Low Level, KZ
ABONY, , 47.2708, 19.979, LHBP, RNAV, HU
ABORI, , 49.7417, 136.6767, UHHH, High and Low Level, RS
ABORO, , 48.5241, 2.4151, LFPV, Terminal, FR
ABOTU, , 51.5992, 6.5242, EDLL, RNAV, GM
ABOVE, , -22.0156, -51.8831, SBCW, RNAV, BR
ABRAD, , 50.6014, 26.1448, UKLV, Low Level, UP
ABRAM, , 34.3333, 12.6378, LMMM, RNAV, MT
ABRAN, , 43.6169, 33.1207, UKFV, High and Low Level, UP
ABRAT, , 39.8217, -7.6542, LPPC, RNAV, PO
ABRIS, , 47.1597, 30.6658, UKOV, Low Level, UP
ABRIX, , 43.6463, -1.9626, LECM, RNAV, SP
ABROK, , 51.5931, 29.0315, UKBB, RNAV, UP
ABRON, , 42.6142, 8.1478, LFMM, RNAV, FR
ABROR, , 45.2297, 7.4161, LIMM, Low Level, IT
ABRUT, , 44.4503, 25.1832, LRBB, Low Level, RO
ABSAL, , -21.9217, -43.3569, SBBS, RNAV, BR
ABSIE, , 46.5833, -0.4583, LFRR, Low Level, FR
ABSIN, , 45.8997, 33.7484, UKHV, High and Low Level, UP
ABSUD, , 49.9392, 1.7911, LFFF, RNAV, FR
ABTAL, , 48.8547, 10.1069, EDMM, RNAV, GM
ABTOD, , -32.995, 135.1333, YMMM, High and Low Level, AS
ABTOK, , 6.305, 102.2956, VTBB, High and Low Level, TH
ABTOM, , 3.1733, 101.2787, WMSA, Terminal, MY
ABU, , 32.4628, 13.1694, HLLL, High and Low Level, LY
ABU, , 50.9938, 12.521, EDDE, Terminal, GM
ABUCU, , -4.5861, -39.1346, SBRE, RNAV, BR
ABUDA, , 50.1164, 1.7575, LFFF, RNAV, FR
ABUGA, , 49.6749, 36.8283, UKHV, RNAV, UP
ABUKA, , 49.4653, 8.6792, EDUU, RNAV, GM
ABUMO, , 50.1417, 8.9233, EDFF, RNAV, GM
ABURA, , 47.5625, 66.72, UAKD, High and Low Level, KZ
ABUSE, , -18.2576, -51.4693, SBBC, RNAV, BR
ABV, , -28.5707, 16.5339, FAJS, High and Low Level, SF
AC, , 10.9392, 107.1883, VVTS, High and Low Level, VM
ACA, , 16.7585, -99.754, MMFR, High and Low Level, MX
ACA01, , 16.7612, -99.7706, MMAA, Terminal, MX
