# code,name,lat,lon,apt,type,country code
ADINA, , 43.803, 30.5034, UKFV, RNAV, UP
ADISA, , 61.4167, 48.3483, ULKK, High and Low Level, RS
ADISO, , 45.5592, 7.2933, LIMM, High and Low Level, IT
ADITA, , 43.2286, 5.8289, LFMM, RNAV, FR
ADITO, , 50.4517, 141.5, UHKM, High and Low Level, RS
ADKAD, , -22.0683, 168.3617, NWWW, High and Low Level, NC
ADKAK, , 33.9035, 142.1633, RJTG, High and Low Level, JA
ADKOS, , -44.6171, 166.8804, NZZO, High and Low Level, NZ
ADL, , 43.4033, 39.9483, URRV, High and Low Level, RS
ADLEN, , 64.7733, -169.785, UHMA, High and Low Level, RS
ADLER, , 43.6438, -79.5793, CZYZ, Terminal, CA
ADLET, , 48.5676, 14.2993, LOAA, RNAV, AU
ADLIR, , 52.4003, 13.6219, EDBB, RNAV, GM
ADM, , 30.3219, -9.3833, GMMM, High and Low Level, MO
ADMAS, , 37.5622, 17.8581, LIRR, RNAV, IT
ADMIL, , 23.1808, 90.9906, VGFR, High and Low Level, BG
ADMIR, , 43.8562, 25.1206, LRBB, High Level, RO
ADMIS, , 51.9969, 0.1767, EGTT, High and Low Level, UK
ADN, , 57.3106, -2.2672, EGPX, High and Low Level, UK
ADN07, , 57.2984, -2.269, EGPD, Terminal, UK
ADN24, , 56.9256, -2.1164, EGPX, Low Level, UK
ADN25, , 57.248, -2.233, EGPD, Terminal, UK
ADN26, , 56.9596, -2.7328, EGPX, Low Level, UK
ADN30, , 56.8225, -2.0764, EGPX, Low Level, UK
ADN40, , 56.6597, -2.0139, EGPX, Low Level, UK
ADN45, , 57.2397, -2.2223, EGPD, Terminal, UK
ADN50, , 57.2175, -2.2091, EGPD, Terminal, UK
ADN63, , 57.2876, -2.261, EGPD, Terminal, UK
ADNAM, , 52.1071, 0.738, EGSS, Terminal, UK
ADNEP, , 8.0621, 101.0551, VTBB, High and Low Level, TH
ADNGN, , -29.703, 31.3179, FADN, Terminal, SF
ADNIM, , 15.3576, 121.5724, RPHI, High and Low Level, RP
ADNIP, , 38.2548, 146.9161, RJTG, High and Low Level, JA
ADNUT, , 3.3592, 102.6272, WMKL, High and Low Level, MY
ADODA, , 52.5417, 75.0983, UACC, High and Low Level, KZ
ADODI, , 48.84, 62.0328, UATT, High and Low Level, KZ
ADOKA, , 48.3733, 67.3117, UAUA, High and Low Level, KZ
ADOKI, , 49.9358, 20.6458, EPWW, RNAV, PL
ADOLF, , -11.7599, -38.3504, SBRE, RNAV, BR
ADONI, , 56.3283, 88.8983, UNKL, High and Low Level, RS
ADONU, , 50.4681, 56.0331, UATT, High and Low Level, KZ
ADORA, , -21.94, 166.4008, NWWW, Terminal, NC
ADORO, , 41.4831, -6.28, LPPC, High and Low Level, PO
ADORU, , 41.8717, 26.5683, LBSR, High and Low Level, BU
ADOSA, , 45.6444, 11.0264, LIMM, High and Low Level, IT
ADPOP, , 19.0509, 68.0, VABF, RNAV, IN
ADR, , 27.817, -0.2059, DAAA, High and Low Level, AG
ADRAA, , 33.6133, 36.5, OSDI, High and Low Level, SY
ADRAM, , 35.7133, 9.6386, DTTC, High and Low Level, TS
ADRAS, , 36.8322, -2.7275, LECM, Low Level, SP
ADRAX, , 45.9558, -66.1983, CZQM, Low Level, CA
ADRED, , 45.3937, -75.4795, CYOW, Terminal, CA
ADREN, , 38.8383, 17.7358, LIBB, High and Low Level, IT
ADRES, , 37.1714, 37.3336, LTAA, High and Low Level, TU
ADRET, , 46.1139, -64.4619, CZQM, Terminal, CA
ADREX, , 59.2971, -107.6937, CZEG, High Level, CA
ADRIK, , 48.0756, 68.6886, UAUA, High and Low Level, KZ
ADRUL, , 68.6668, -80.9005, CYUX, Terminal, CA
ADS, , 8.975, 38.7994, HAAB, Terminal, ET
ADS05, , 9.0027, 38.8789, HAAB, Terminal, ET
ADS07, , 9.0138, 38.9107, HAAB, Terminal, ET
ADS25, , 8.9889, 38.8391, HAAB, Terminal, ET
ADS69, , 9.047, 39.0061, HAAB, Terminal, ET
ADS92, , 8.961, 39.0179, HAAB, Terminal, ET
ADSAD, , 38.4781, -8.9978, LPPT, RNAV, PO
ADSAM, , 69.9211, -63.22, CZEG, High Level, CA
ADSED, , 64.8581, -135.0, CZEG, High Level, CA
ADSEL, , 18.9522, -78.4347, MKJK, Low Level, JM
ADSIT, , 51.1231, -113.7942, CYYC, Terminal, CA
ADSIX, , 49.1167, -122.5, CZVR, High Level, CA
ADSOR, , 46.3186, -63.97, CYSU, Terminal, CA
ADSUN, , 55.1617, -119.1732, CYQU, Terminal, CA
ADSUR, , 50.6883, -73.2517, CZUL, High Level, CA
ADUBI, , 35.8333, -6.3239, LECM, RNAV, SP
ADUDU, , 43.3447, 7.1892, LFMM, Low Level, FR
ADUFO, , 7.2439, 157.7727, KZAK, Terminal, FM
ADUIM, , 49.3167, -67.38, CZUL, Low Level, CA
ADUKI, , 54.3256, 13.3603, EDBB, RNAV, GM
ADULA, , 45.2706, 18.6419, LDZO, RNAV, HR
ADURA, , 44.4566, 24.5682, LRBB, RNAV, RO
ADUST, , -3.7809, -60.6161, SBAZ, RNAV, BR
ADUSU, , 49.9561, 6.1961, EBBU, RNAV, BE
ADUTO, , 50.515, 3.3617, LFFF, High and Low Level, FR
ADUXO, , 40.5123, -2.0643, LECM, High and Low Level, SP
ADVEG, , 48.345, -71.1435, CYBG, Terminal, CA
ADVET, , 5.4494, -58.957, SYGC, High and Low Level, GY
ADVIB, , 52.1519, -106.4958, CZWG, Terminal, CA
ADVIN, , 41.0, 46.95, UBBA, High and Low Level, AJ
ADVIV, , 44.1711, -77.4085, CYTR, Terminal, CA
ADX, , 39.5494, 2.3959, LECB, High and Low Level, SP
AE002, , 57.0925, 9.8121, EKYT, Terminal, DA
AE004, , 57.0886, 9.7517, EKYT, Terminal, DA
AE008, , 57.0809, 9.6304, EKYT, Terminal, DA
AE009, , 57.0789, 9.6, EKYT, Terminal, DA
AE010, , 57.0769, 9.5694, EKYT, Terminal, DA
AE227, , 57.0374, 9.5879, EKYT, Terminal, DA
AER13, , -34.4955, -58.408, SABE, Terminal, AR
AER14, , -34.5367, -58.243, SABE, Terminal, AR
AER15, , -34.592, -58.2, SABE, Terminal, AR
AER16, , -34.6245, -58.2467, SABE, Terminal, AR
AER21, , -34.5297, -58.3044, SABE, Terminal, AR
AER22, , -34.4606, -58.2505, SABE, Terminal, AR
AER23, , -34.4569, -58.3866, SABE, Terminal, AR
AERON, , -9.578, -68.5393, SBAZ, Low Level, BR
AF, , -27.5703, 153.0161, YBBN, Terminal, AS
AFGAN, , 38.4, 58.2833, UTAA, High and Low Level, TX
AFI, , 50.9078, 4.1389, EBBR, Terminal, BE
AFI03, , 50.9078, 4.2179, EBBR, Terminal, BE
AFI11, , 50.7164, 4.2197, EBBR, Terminal, BE
AFINS, , 51.0017, -120.6867, CZVR, Low Level, CA
AFM, , 43.0622, 74.4707, UAFM, High and Low Level, KG
AFM05, , 43.1822, 74.2814, UAFM, Terminal, KG
AFM11, , 43.0281, 74.225, UAFM, Terminal, KG
AFM18, , 43.0843, 74.7192, UAFM, Terminal, KG
AFM19, , 43.1431, 74.3903, UAFM, Terminal, KG
AFM40, , 43.1918, 74.648, UAFM, Terminal, KG
AFM46, , 42.9417, 73.9983, UAFM, Terminal, KG
AFM47, , 43.0472, 74.366, UAFM, Terminal, KG
AFM53, , 43.0761, 74.5897, UAFM, Terminal, KG
AFM54, , 42.9911, 73.9799, UAFM, Terminal, KG
AFM58, , 43.0395, 74.2224, UAFM, Terminal, KG
AFM61, , 43.1156, 74.7102, UAFM, Terminal, KG
AFM65, , 43.0619, 74.2204, UAFM, Terminal, KG
AFM75, , 43.0922, 74.7174, UAFM, Terminal, KG
AFM78, , 43.0654, 74.5068, UAFM, Terminal, KG
AFM81, , 43.0083, 74.2315, UAFM, Terminal, KG
AFM82, , 42.9539, 73.9929, UAFM, Terminal, KG
AFM83, , 43.0558, 74.4424, UAFM, Terminal, KG
AFM86, , 43.0328, 74.3402, UAFM, Terminal, KG
AFM87, , 43.0763, 74.6288, UAFM, Terminal, KG
AFM88, , 43.023, 74.2967, UAFM, Terminal, KG
AFM89, , 43.0803, 74.674, UAFM, Terminal, KG
AFM91, , 43.2105, 74.3232, UAFM, Terminal, KG
AFNAN, , 25.1483, 51.9325, OBBB, RNAV, BA
AFO, , 5.4111, -2.9165, DIII, High and Low Level, IV
AFO10, , 5.3839, -2.7342, DGAC, Low Level, GH
AFOYU, , 6.6569, 158.585, KZAK, Terminal, FM
AFRIC, , 43.7742, 2.8692, LFMM, Low Level, FR
AFTER, , -16.7417, -45.7086, SBBC, RNAV, BR
AFTON, , 14.7333, -68.3, TNCF, High and Low Level, NT
AFTRA, , -9.185, 160.9483, AGGH, High and Low Level, BP
AG, , 44.1333, 39.0333, URRV, High and Low Level, RS
AGAAR, , 27.3064, 14.0, HLLL, High and Low Level, LY
AGADA, , 70.205, 108.1933, UERR, High and Low Level, RS
AGADI, , 48.0997, 73.5606, UAKK, High and Low Level, KZ
AGADO, , 41.8728, -8.9267, LECM, RNAV, SP
AGAGO, , -28.2203, 136.7608, YMMM, High and Low Level, AS
AGAKO, , 47.7311, 71.8264, UAAA, High and Low Level, KZ
AGALI, , 30.7278, -9.4967, GMMM, Low Level, MO
AGAMO, , 63.1467, 31.265, ULLL, High and Low Level, RS
AGANI, , 42.3667, 63.8467, UTNN, High and Low Level, UZ
AGAPA, , 72.2167, 86.4917, UOOO, High and Low Level, RS
AGAPI, , 34.8694, 30.0, LGGG, RNAV, GR
AGARA, , 51.4078, 17.4608, EPWW, Low Level, PL
AGARI, , 35.9647, 15.6167, LMMM, RNAV, MT
AGARO, , 47.1894, 79.1489, UASA, High and Low Level, KZ
AGART, , 38.15, 66.05, UTAA, High and Low Level, TX
AGARU, , 59.885, 62.9533, USSS, High and Low Level, RS
AGASA, , 41.8019, 10.7636, LIRR, High and Low Level, IT
AGATA, , 61.4833, 63.4333, USSS, High and Low Level, RS
AGATI, , 52.9117, 10.0289, EDVV, High and Low Level, GM
AGATO, , 42.2667, 48.54, URRV, High and Low Level, RS
AGAVA, , 46.7372, 28.5008, LUKK, Terminal, MD
AGAVO, , 37.1667, 124.0, ZSHA, High and Low Level, CH
AGAYE, , 8.5824, 167.5697, PKWA, Terminal, RM
AGBAM, , 45.7122, -62.4347, CZQM, Terminal, CA
AGBEK, , 43.5583, -79.4682, CYYZ, Terminal, CA
AGBUT, , 44.7392, -79.7783, CZYZ, High Level, CA
AGDAL, , 34.1167, -7.3144, GMMM, Low Level, MO
AGDAN, , 50.895, -113.695, CZEG, High and Low Level, CA
AGECA, , 8.8577, 167.8938, PKWA, Terminal, RM
AGEDI, , 44.1795, 155.0967, RJTG, High and Low Level, JA
AGEDO, , 13.4054, 102.3607, VTBB, High and Low Level, TH
AGEKO, , 37.5164, 15.4336, LICR, Terminal, IT
AGELA, , 16.6067, 75.4658, VABF, High and Low Level, IN
AGEMA, , 54.365, 102.385, UIII, High and Low Level, RS
AGEMI, , 60.5, 75.0, USRR, High and Low Level, RS
AGEMO, , 56.1217, 145.2517, UHMM, High and Low Level, RS
AGENA, , 41.5448, 3.4886, LECB, High and Low Level, SP
AGENI, , 50.75, 6.0333, EDLL, High and Low Level, GM
AGENT, , -20.0164, -55.6198, SBCW, High Level, BR
AGERA, , -4.1, 149.4433, AYWK, High and Low Level, PP
AGERI, , 47.1172, 8.605, LSME, Low Level, SZ
AGERO, , 53.6633, 57.8417, UWUU, High and Low Level, RS
AGERU, , 44.4708, 24.6629, LRLR, RNAV, RO
AGG, , 27.1507, 77.9475, VIDF, High and Low Level, IN
AGGUA, , 50.255, -124.9983, CZVR, Low Level, CA
AGH, , 39.2162, 22.7919, LGGG, High and Low Level, GR
AGIGU, , -6.9327, 138.8791, WABZ, High and Low Level, ID
AGIKA, , 30.0037, 131.4411, RORG, High and Low Level, JA
AGINA, , 39.3233, 44.0867, LTAA, High Level, TU
AGINO, , 51.1, 114.5333, UIAA, High and Low Level, RS
AGINU, , 49.8, 76.1833, UACC, High and Low Level, KZ
AGISA, , 39.7333, 23.35, LGGG, High and Low Level, GR
AGISU, , 53.8817, 6.4994, EDVV, RNAV, GM
AGITA, , 42.3267, 132.1967, UHWW, High and Low Level, RS
AGLIN, , 45.5033, -75.2633, CZVR, High and Low Level, CA
AGMAL, , 39.8, 54.15, UTAK, High and Low Level, TX
AGMAS, , 47.4843, 19.6913, LHCC, High and Low Level, HU
AGN, , 43.888, 0.8729, LFBB, High and Low Level, FR
AGNAR, , 44.3532, 27.4365, LRBB, High and Low Level, RO
AGNAV, , 49.5671, 12.6134, LKAA, RNAV, EZ
AGNES, , 45.6667, 46.3333, URRV, High and Low Level, RS
AGNEX, , 45.6011, -77.1031, CZYZ, Low Level, CA
AGNIS, , 39.8075, 14.7508, LIRR, High and Low Level, IT
AGOBA, , 1.9783, 108.5, WBFC, RNAV, MY
AGODA, , 24.3228, 88.5989, VGFR, High and Low Level, BG
AGOLA, , 45.8, 43.3167, URRV, High and Low Level, RS
AGOLY, , 9.4899, 167.5765, PKRO, Terminal, RM
AGOPA, , 48.0833, 2.0097, LFFF, RNAV, FR
AGORI, , 57.0, -13.0, EINN, High and Low Level, EI
AGOSA, , 3.1447, 101.2203, WMFC, High and Low Level, MY
AGOTI, , 41.1378, 14.6478, LIRN, Terminal, IT
AGOTI, , 58.6833, 79.6833, UNLL, High and Low Level, RS
AGPAL, , 54.5283, -130.78, CZVR, Low Level, CA
AGPIN, , 48.6586, 75.6961, UAAH, High and Low Level, KZ
AGPOK, , -25.4717, 112.235, YMMM, High and Low Level, AS
AGPOM, , 0.0, -145.105, NTTT, High and Low Level, FP
AGPOP, , 2.1783, 111.2236, WBGS, High and Low Level, MY
AGRAM, , -18.0011, 21.6495, FBGR, High and Low Level, BC
AGREB, , 31.9333, -0.55, DAAA, High and Low Level, AG
AGREK, , -27.0222, 121.3228, YMMM, High and Low Level, AS
AGREV, , 45.0642, 4.3175, LFMM, Low Level, FR
AGREX, , -33.7251, 175.5644, NZZC, High and Low Level, NZ
AGRO, , -15.8526, -47.8149, SBBR, Terminal, BR
AGROD, , 8.0, 12.4011, FCCC, Low Level, CM
AGROM, , 22.5293, 84.8334, VECF, High and Low Level, IN
AGSAM, , 11.4717, 112.5883, VVTS, RNAV, VM
AGSEL, , -19.9244, 109.6836, YMMM, High and Low Level, AS
AGSEM, , 7.6956, 3.7854, DNKK, High and Low Level, NI
AGSIL, , 8.8346, -12.8925, GLRB, High and Low Level, SL
AGSON, , 2.25, 114.8567, WADZ, High and Low Level, ID
AGSUS, , 36.7633, 130.6906, RKTG, High and Low Level, KS
AGTAL, , -2.7815, -59.5088, SBAZ, Low Level, BR
AGTIK, , -28.6714, 124.1028, YMMM, High and Low Level, AS
AGTOS, , -19.3167, 177.2083, NFFF, High and Low Level, FJ
AGU, , 21.7114, -102.319, MMFR, High and Low Level, MX
AGUA, , -23.0902, -42.2852, SBGL, Terminal, BR
AGUAN, , 15.8983, -85.4297, MHTG, High and Low Level, HO
AGUAS, , 24.9291, -98.1224, MMFR, High and Low Level, MX
AGUJA, , 10.9845, -77.4164, MPZL, High and Low Level, PM
AGUNA, , 43.9711, 75.7836, UAUA, High and Low Level, KZ
AGUNG, , -7.9915, 115.6844, WIIZ, High and Low Level, ID
AGUNO, , 23.2392, 90.4372, VGFR, High and Low Level, BG
AGUPO, , 4.5936, 112.8667, WBFC, RNAV, MY
AGURI, , -27.1285, -48.6757, SBCW, Low Level, BR
AGUSA, , 47.2333, 82.0606, UAKK, High and Low Level, KZ
AGUST, , -13.6286, 131.2042, YBBB, High and Low Level, AS
AGV, , -29.4811, 18.5625, FAJS, High and Low Level, SF
AGV, , 9.5548, -69.2362, SVZM, Low Level, VE
AGVAR, , 19.4141, 120.6285, RPRP, High and Low Level, RP
AGZ, , 47.9311, 80.4497, UASS, High and Low Level, KZ
AHALE, , 27.1967, 86.1181, VNSM, High and Low Level, NP
AHK, , -5.9433, 150.92, AYPY, High and Low Level, PP
AHNB, , 40.6985, 8.3308, LIEA, Terminal, IT
AHO, , 40.6361, 8.2894, LIEA, Terminal, IT
AI, , -18.8248, -159.7735, NCAI, High and Low Level, CW
AI, , 43.9722, 76.3358, UAAA, High and Low Level, KZ
AI, , 64.285, 100.2033, UNIT, High and Low Level, RS
AIKOH, , 27.9752, 128.9349, RORG, High and Low Level, JA
AIOSA, , 41.9283, 17.2483, LDZO, RNAV, HR
AIRA, , 31.2324, 131.1016, RJFY, Terminal, JA
AIRES, , -3.4081, -70.2256, SKED, Low Level, CO
AIREZ, , 39.4547, -8.6661, LPPT, Terminal, PO
AIRIE, , 52.78, -123.1964, CZVR, Low Level, CA
AISAR, , 25.9475, 122.4932, RCAA, High and Low Level, TW
AJ, , 56.5167, 34.9333, UUWV, High and Low Level, RS
AJAX, , 50.4853, -104.7361, CZWG, Terminal, CA
AJE, , 34.2703, 134.7129, RJBB, RNAV, JA
AJF, , 29.789, 40.0742, OEJD, High and Low Level, SA
AJF03, , 29.7799, 40.1308, OESK, Terminal, SA
AJF05, , 29.7093, 40.3465, OESK, Terminal, SA
AJF19, , 29.5451, 40.0074, OESK, Terminal, SA
AJF27, , 29.8343, 39.7914, OESK, Terminal, SA
AJF37, , 29.9796, 40.2612, OESK, Terminal, SA
AJF89, , 29.7778, 40.3612, OESK, Terminal, SA
AJF97, , 29.7431, 40.3568, OESK, Terminal, SA
AJF99, , 29.7805, 40.1288, OESK, Terminal, SA
AJO, , 41.7705, 8.7747, LFMM, High and Low Level, FR
AJORO, , 22.8051, -105.6592, MMMZ, Terminal, MX
AK, , 49.5833, 44.3167, URWW, High and Low Level, RS
AKABI, , 47.7169, 9.2333, LSUU, RNAV, SZ
AKADA, , 61.7833, 48.2, UUYY, High and Low Level, RS
AKADO, , 45.3333, 12.5, LIMM, RNAV, IT
AKAGI, , 36.3912, 139.699, RJTG, High and Low Level, JA
AKALI, , 44.1414, 61.3269, UAOO, High and Low Level, KZ
AKAMO, , -43.8904, 172.2992, NZZC, High and Low Level, NZ
AKAMO, , 41.1908, 14.6533, LIMM, RNAV, IT
AKANE, , 35.5313, 137.5009, RJTG, RNAV, JA
AKANU, , 49.0508, 10.6581, EDMM, High and Low Level, GM
AKAR, , 34.6354, 32.6673, LCRA, Terminal, CY
AKARA, , 31.5, 123.5, ZSHA, High and Low Level, CH
AKASA, , 44.4483, 25.1835, LROP, Terminal, RO
AKASI, , 34.5777, 134.7533, RJBB, Terminal, JA
AKASI, , 55.615, 57.9317, USCC, High and Low Level, RS
AKASU, , 46.1097, 8.4956, LIMM, RNAV, IT
AKATA, , 59.8917, 117.4183, UEEE, High and Low Level, RS
AKATI, , 70.1367, 31.9833, ULMM, High Level, RS
AKAVI, , -39.9997, 174.2638, NZZC, High and Low Level, NZ
AKAZU, , -17.3961, 16.8453, FYWH, High Level, WA
AKAZU, , 40.705, 68.6375, UAII, High and Low Level, KZ
AKB, , 50.2631, 57.1839, UATT, High and Low Level, KZ
AKBAT, , -26.4019, 114.8464, YMMM, High and Low Level, AS
AKBON, , 0.8195, 30.3347, FZZA, High Level, CG
AKBUK, , 37.4144, 27.5078, LTBB, High and Low Level, TU
AKCAK, , 41.4289, 30.7247, LTBB, RNAV, TU
AKDAK, , 10.35, -15.6, GOOO, High Level, PU
AKDAV, , -33.0297, 136.2036, YMMM, RNAV, AS
AKDIP, , -14.4875, 108.4425, YMMM, High and Low Level, AS
AKE, , 32.481, 130.1596, RJFT, Terminal, JA
AKE22, , 32.5816, 130.577, RJFT, Terminal, JA
AKELA, , 27.4168, 76.7988, VIDF, High and Low Level, IN
AKELI, , 54.0, -10.0, EINN, RNAV, EI
AKELU, , 49.3669, 6.4639, LFEE, Low Level, FR
AKEMA, , 34.6006, -7.7767, GMMM, High and Low Level, MO
AKEMO, , 47.1392, -3.0, LFBB, RNAV, FR
AKESI, , 42.5546, 144.0732, RJTG, High and Low Level, JA
AKESI, , 53.955, 53.5133, UWUU, High and Low Level, RS
AKETE, , -21.5605, 17.9102, FYWH, RNAV, WA
AKETI, , 48.3, -2.0447, LFRR, Low Level, FR
AKEVO, , 23.6008, 90.0472, VGFR, High and Low Level, BG
AKF, , -8.2283, 146.6517, AYPY, High and Low Level, PP
AKI, , 38.8195, 27.8272, LTAA, Terminal, TU
AKI, , 65.7597, -18.0042, BIRD, High and Low Level, IC
AKIBA, , 59.2144, 11.7886, ESMM, RNAV, SW
AKIGO, , 50.3056, 7.0197, EDFF, RNAV, GM
AKIKI, , 49.5914, -1.4167, LFRR, High and Low Level, FR
AKILI, , 41.833, 12.3177, LIRA, Terminal, IT
AKIMA, , 48.4132, 13.3103, EDMM, RNAV, GM
AKINA, , 36.9803, 26.2486, LGGG, High and Low Level, GR
AKINI, , 48.7497, 12.1242, EDMM, RNAV, GM
AKIRA, , 45.7231, 77.3081, UAAA, High and Low Level, KZ
AKIRU, , 55.705, 103.18, UIBB, High and Low Level, RS
AKITE, , -7.3942, 72.5277, FJDG, Terminal, IO
AKITO, , 47.2133, 6.6489, LFEE, High Level, FR
AKIVO, , 59.9644, -9.5, EGTT, High and Low Level, UK
AKKIE, , 34.2343, 131.1115, RJFZ, Terminal, JA
AKLAS, , 36.7125, 127.4994, RKTT, High and Low Level, KS
AKLET, , -27.1528, 145.7144, YBBB, High and Low Level, AS
AKLIS, , 7.0885, 9.1893, DNKK, Low Level, NI
AKLOM, , -35.3579, 178.3942, NZZC, High and Low Level, NZ
AKMIL, , 11.8598, 80.1152, VOMF, High and Low Level, IN
AKMON, , 8.215, 110.2183, VVTS, RNAV, VM
AKNAK, , -13.2133, 164.3833, AGGG, High and Low Level, BP
AKNAR, , -7.6803, 26.7699, FZZA, High Level, CG
AKNAT, , 12.2333, 103.7117, VDPP, RNAV, CB
AKNEL, , -23.7989, -60.9956, SARU, RNAV, AR
AKNEN, , -32.0076, -53.8873, SBCW, RNAV, BR
AKNIB, , 1.5114, -55.6395, SBAZ, RNAV, BR
AKNIL, , 10.3875, -72.9542, SKEC, RNAV, CO
AKNOS, , -38.0028, -62.8844, SAEF, Low Level, AR
AKNOV, , -0.8424, -65.3462, SBAZ, High Level, BR
AKNUB, , -24.4942, -44.573, SBBS, RNAV, BR
AKNUR, , 10.8208, -66.2186, SVZM, High Level, VE
AKODA, , 54.3667, 47.085, UWWW, High and Low Level, RS
AKODI, , 27.8367, 46.2222, OBBB, RNAV, SA
AKOKO, , 53.2378, 3.2019, EGTT, High Level, UK
AKOLA, , 48.6, 140.1833, UHKK, High and Low Level, RS
AKOMA, , 1.7561, 103.9119, WMFC, High and Low Level, MY
AKOMA, , 34.6933, 114.745, ZHWH, High and Low Level, CH
AKONA, , 47.9715, 34.135, UKHV, Low Level, UP
AKONI, , 49.7468, 9.1875, EDFF, RNAV, GM
AKORO, , 37.21, 24.3933, LGGG, RNAV, GR
AKOSI, , 49.7078, 12.0861, EDMM, RNAV, GM
AKOSO, , 53.6944, 65.1611, UAUA, High and Low Level, KZ
AKOTA, , 16.462, 117.2067, RPRP, High and Low Level, RP
AKOTO, , 29.625, 119.65, ZSHA, High and Low Level, CH
AKOVI, , 50.7472, 3.7186, EBBR, Terminal, BE
AKOVU, , 64.6533, 24.8031, EFPS, RNAV, FI
AKPEL, , -25.0308, -59.6994, SARU, RNAV, AR
AKPOD, , -32.4718, -53.5833, SBCW, RNAV, BR
AKPUT, , 6.0197, -72.9772, SKED, High Level, CO
AKR09, , 34.4946, 33.2043, LCRA, Terminal, CY
AKR11, , 34.5372, 33.1896, LCRA, Terminal, CY
AKR13, , 34.4581, 33.1803, LCRA, Terminal, CY
AKR14, , 34.6013, 32.9462, LCRA, Terminal, CY
AKR15, , 34.601, 32.9475, LCRA, Terminal, CY
AKR31, , 34.5296, 33.2188, LCRA, Terminal, CY
AKR59, , 34.566, 33.0808, LCRA, Terminal, CY
AKR60, , 34.5655, 33.0828, LCRA, Terminal, CY
AKR65, , 34.5628, 33.0931, LCRA, Terminal, CY
AKRAM, , 25.8433, 47.8592, OEJD, High and Low Level, SA
AKRAM, , 39.895, 60.2867, UTAA, High and Low Level, TX
AKRAN, , -5.8317, -16.7333, SBRE, High Level, BR
AKRAS, , -29.7178, -66.3708, SACF, Low Level, AR
AKREL, , -13.2994, -72.835, SPIM, RNAV, PE
AKROK, , 7.8773, -60.321, SYGC, High and Low Level, GY
AKRON, , 45.4667, 139.0833, UHWW, High and Low Level, RS
AKROS, , -5.1122, 22.7731, FZZA, Low Level, CG
AKSAG, , 20.8178, 100.4626, VYRR, High and Low Level, BM
AKSEK, , 36.9239, 28.2244, LTBB, High and Low Level, TU
AKSES, , -16.096, -68.2161, SLLP, RNAV, BL
AKSUL, , -22.55, -55.7861, SBCW, RNAV, BR
AKSUN, , 45.7521, 140.9045, RJTG, High and Low Level, JA
AKT, , 43.8586, 51.1019, UATG, High and Low Level, KZ
AKTAK, , 4.3458, -66.4758, SVZM, High Level, VE
AKTAS, , 50.3167, 87.5833, UNBB, High and Low Level, RS
AKTIV, , 20.2508, 73.2493, VABF, High and Low Level, IN
AKTLA, , -23.558, 26.1409, FBGR, High Level, BC
AKTOD, , -0.4133, 105.9931, WSJC, High and Low Level, SN
AKTOR, , -4.0094, -68.7368, SBAZ, RNAV, BR
AKTUM, , 3.511, -60.808, SBAZ, Low Level, BR
AKUDA, , 35.9667, -8.95, GMMM, High and Low Level, MO
AKUDI, , 51.5669, 13.6569, EDBB, RNAV, GM
AKUKO, , -9.0075, 102.3522, YMMM, High and Low Level, AS
AKUKU, , 42.8433, 51.0858, UATE, High and Low Level, KZ
AKULA, , -3.1199, 108.9509, WIIZ, High and Low Level, ID
AKUMA, , 55.1939, 22.7531, EYVL, RNAV, LH
AKUMO, , -6.2483, 175.5917, NFFF, High and Low Level, FJ
AKUNE, , 32.0994, 130.4264, RJTG, High and Low Level, JA
AKUTI, , 43.2272, 8.9403, LFRR, High and Low Level, FR
AKUXO, , 50.8714, 6.0744, EDVV, RNAV, GM
AKUZU, , 8.643, 167.4817, PKWA, Terminal, RM
AKVAS, , 29.587, 127.4647, RORG, High and Low Level, JA
AL, , 14.2203, 121.924, RPHI, High and Low Level, RP
AL, , 44.6747, 34.3968, UKFV, High and Low Level, UP
AL, , 61.7067, 96.5, UNIP, High and Low Level, RS
ALABO, , 43.205, 48.8667, URRV, High and Low Level, RS
ALABU, , 39.4883, 66.3667, UTSD, High and Low Level, UZ
ALADA, , -41.837, 172.6927, NZZC, High and Low Level, NZ
ALADI, , 35.5208, 126.855, RKJK, High and Low Level, KS
ALAGI, , 58.0333, 64.7833, USTR, High and Low Level, RS
ALAGO, , 47.7997, 9.4628, EDFF, RNAV, GM
ALAGU, , 38.0886, -7.6144, LPPO, High and Low Level, PO
ALAKI, , 38.3656, 20.2161, LGRX, Terminal, GR
ALAKO, , 44.3453, 73.9889, UADD, High and Low Level, KZ
ALAMA, , 36.8934, -4.0098, LEMG, Terminal, SP
ALAMA, , 39.2233, -8.55, LPMT, Terminal, PO
ALAMI, , 35.1017, 70.42, OAKX, High and Low Level, AF
ALAMI, , 59.0478, 20.9158, ESMM, RNAV, SW
ALAMO, , -4.7124, 108.8148, WIIZ, High and Low Level, ID
ALAMU, , 47.7369, 18.33, LHCC, RNAV, HU
ALANI, , 36.9111, 23.9917, LGGG, High and Low Level, GR
ALANS, , 17.1062, -100.05, MMAA, Terminal, MX
ALANU, , 44.5247, 15.2806, LDZA, Low Level, HR
ALAOS, , 37.2122, -6.5485, LERT, Terminal, SP
ALAPI, , -13.7619, -172.502, NSFA, High and Low Level, WS
